threshold	mode	depth	label	n_samples	n_subjects	high_cal_samples	lower_cal_samples	n_high_label	n_lower_label	n_high_other	n_lower_other	or_value	ci_low	ci_high	p_value	q_value	mode_key	label_col
200	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Prevotellaceae fam.	202	49	114	88	2	4	112	84	0.376811706640644	0.033346909629112	2.6995573140054	0.406801560449626	0.681365471355301	rebuilt	depth4_absorb
200	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei	202	49	114	88	7	8	107	80	0.655614327592624	0.193636506984704	2.16480387479757	0.433596209044283	0.681365471355301	rebuilt	depth4_absorb
200	Rebuilt	4	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris__Bacteroides ovatus	202	49	114	88	9	9	105	79	0.753462394843834	0.252041375240585	2.25162176337446	0.623087102138899	0.837068572054371	rebuilt	depth4_absorb
200	Rebuilt	4	Bacteroides dorei__Escherichia-Shigella coli__Bacteroides ovatus	202	49	114	88	17	11	97	77	1.22557480416222	0.506880302512582	3.07739663873916	0.684874286226304	0.837068572054371	rebuilt	depth4_absorb
200	Rebuilt	4	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris__Agathobacter faecis	202	49	114	88	9	7	105	81	0.991876027425581	0.313463973227736	3.27749178458373	1	1	rebuilt	depth4_absorb
200	Rebuilt	4	Bacteroides dorei__Bifidobacterium breve	202	49	114	88	11	9	103	79	0.937743198675349	0.33468131684951	2.6959788617454	1	1	rebuilt	depth4_absorb
250	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	202	49	103	99	2	12	101	87	0.144747514575504	0.0153099574076411	0.676922844245697	0.00488744633080635	0.0537619096388699	rebuilt	depth4_absorb
250	Rebuilt	4	Bacteroides dorei__Bacteroides uniformis	202	49	103	99	21	10	82	89	2.2701821798856	0.955617471340669	5.73894151381586	0.0512758320420045	0.246138998229828	rebuilt	depth4_absorb
250	Rebuilt	4	Bacteroides dorei__Bacteroides ovatus	202	49	103	99	19	9	84	90	2.25300117461357	0.91075562274415	5.9857906354993	0.0671288176990439	0.246138998229828	rebuilt	depth4_absorb
250	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Bifidobacterium breve	202	49	103	99	10	4	93	95	2.54255396923542	0.702279716335805	11.5046806212585	0.165380938841173	0.454797581813226	rebuilt	depth4_absorb
250	Rebuilt	4	Bacteroides dorei__Escherichia-Shigella coli__Bacteroides fragilis	202	49	103	99	4	8	99	91	0.46131813964171	0.0982713668967883	1.79197225257907	0.244459209879125	0.537810261734074	rebuilt	depth4_absorb
250	Rebuilt	4	Bacteroides dorei__Bifidobacterium breve	202	49	103	99	8	12	95	87	0.612018236867191	0.206534705690668	1.71741949192389	0.350895318572648	0.60246304063693	rebuilt	depth4_absorb
250	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei	202	49	103	99	6	9	97	90	0.620024899653058	0.174261960062726	2.04068531297592	0.429426897206189	0.60246304063693	rebuilt	depth4_absorb
250	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Prevotellaceae fam.	202	49	103	99	2	4	101	95	0.472004437539416	0.0417908027626332	3.38020620643216	0.43815493864504	0.60246304063693	rebuilt	depth4_absorb
250	Rebuilt	4	Bacteroides dorei__Escherichia-Shigella coli__Bacteroides ovatus	202	49	103	99	13	15	90	84	0.809741934659656	0.332887536006671	1.94588708448567	0.68550090873021	0.83783444400359	rebuilt	depth4_absorb
250	Rebuilt	4	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris__Agathobacter faecis	202	49	103	99	9	7	94	92	1.25693093475633	0.397571499424989	4.15116308613846	0.796057878258751	0.875663666084627	rebuilt	depth4_absorb
250	Rebuilt	4	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris__Bacteroides ovatus	202	49	103	99	9	9	94	90	0.957637161633422	0.320707111936798	2.85930541920137	1	1	rebuilt	depth4_absorb
100	AGP transfer	1	Lachnospiraceae fam.	202	49	144	58	4	6	140	52	0.249650960783249	0.0497615040854989	1.10048143443266	0.0347255922404088	0.240645213529722	agp_transfer	depth1_frozen_agp_absorb
100	AGP transfer	1	UCG-002 sp.	202	49	144	58	2	4	142	54	0.191984708755879	0.0169010569263014	1.38332560077883	0.0578971555758462	0.240645213529722	agp_transfer	depth1_frozen_agp_absorb
100	AGP transfer	1	Bacteroides ovatus	202	49	144	58	13	1	131	57	5.62494188340718	0.808158393404641	244.290359816622	0.0721935640589165	0.240645213529722	agp_transfer	depth1_frozen_agp_absorb
100	AGP transfer	1	[Eubacterium] coprostanoligenes group fam.	202	49	144	58	5	0	139	58	Inf	0.370080447696956	Inf	0.324182609515733	0.810456523789332	agp_transfer	depth1_frozen_agp_absorb
100	AGP transfer	1	Faecalibacterium prausnitzii	202	49	144	58	11	6	133	52	0.718039183856768	0.229054437326698	2.4919211279701	0.57816638942832	0.861509496998777	agp_transfer	depth1_frozen_agp_absorb
100	AGP transfer	1	Bacteroides dorei	202	49	144	58	38	13	106	45	1.23963297246861	0.578418798182112	2.78585187983322	0.596274148371374	0.861509496998777	agp_transfer	depth1_frozen_agp_absorb
100	AGP transfer	1	Bifidobacterium breve	202	49	144	58	13	7	131	51	0.724228381681648	0.251208202048079	2.27163432044077	0.603056647899144	0.861509496998777	agp_transfer	depth1_frozen_agp_absorb
100	AGP transfer	1	Blautia sp.	202	49	144	58	8	2	136	56	1.64340627146966	0.314217003726758	16.3645443262909	0.727297955338597	0.909122444173246	agp_transfer	depth1_frozen_agp_absorb
100	AGP transfer	1	Segatella sp.	202	49	144	58	20	7	124	51	1.17422656008597	0.442281517698772	3.49501824563153	0.822373252322508	0.91374805813612	agp_transfer	depth1_frozen_agp_absorb
100	AGP transfer	1	Bacteroides fragilis	202	49	144	58	10	4	134	54	1.00742734693014	0.275442498132114	4.59185062887268	1	1	agp_transfer	depth1_frozen_agp_absorb
150	AGP transfer	1	Lachnospiraceae fam.	202	49	132	70	4	6	128	64	0.335310511356221	0.06713847129057	1.47110873784146	0.0980022090168986	0.414016350517976	agp_transfer	depth1_frozen_agp_absorb
150	AGP transfer	1	Bacteroides ovatus	202	49	132	70	12	2	120	68	3.38354915212348	0.720855697136784	32.0127819623153	0.144724727565174	0.414016350517976	agp_transfer	depth1_frozen_agp_absorb
150	AGP transfer	1	[Eubacterium] coprostanoligenes group fam.	202	49	132	70	5	0	127	70	Inf	0.4897207696371	Inf	0.16594041088651	0.414016350517976	agp_transfer	depth1_frozen_agp_absorb
150	AGP transfer	1	UCG-002 sp.	202	49	132	70	2	4	130	66	0.255707767617882	0.0225838220039828	1.83646712900197	0.185087879069118	0.414016350517976	agp_transfer	depth1_frozen_agp_absorb
150	AGP transfer	1	Bacteroides dorei	202	49	132	70	37	14	95	56	1.55458597727514	0.742849025804393	3.39673087467133	0.236905366311733	0.414016350517976	agp_transfer	depth1_frozen_agp_absorb
150	AGP transfer	1	Bacteroides fragilis	202	49	132	70	7	7	125	63	0.505820777103618	0.144408783021882	1.77106821946646	0.248409810310785	0.414016350517976	agp_transfer	depth1_frozen_agp_absorb
