label	n_label	n_cases	n_controls	total_cases	total_controls	or	ci_low	ci_high	p_value	q_value	mode	depth	analysis
Bacteroides dorei__Bacteroides cellulosilyticus__Faecalibacterium prausnitzii	2	2	0	100	94	Inf	0.176774282890503	Inf	0.497890069974894	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Bacteroides ovatus__Bacteroides fragilis	2	2	0	100	94	Inf	0.176774282890503	Inf	0.497890069974894	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Paraprevotella sp.	2	2	0	100	94	Inf	0.176774282890503	Inf	0.497890069974894	1	AGP transfer	3	cd_calprotectin
Prevotellaceae fam.__Bacteroides dorei	2	2	0	100	94	Inf	0.176774282890503	Inf	0.497890069974894	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides ovatus	3	1	2	100	94	0.466429738201795	0.007804208314852	9.09953581858448	0.611649350996208	1	AGP transfer	3	cd_calprotectin
Faecalibacterium prausnitzii__Blautia sp.	3	1	2	100	94	0.466429738201795	0.007804208314852	9.09953581858448	0.611649350996208	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Bacteroides ovatus__Agathobacter faecis	4	3	1	100	94	2.86228002196897	0.225224525611421	152.470578164403	0.621815598352328	1	AGP transfer	3	cd_calprotectin
UCG-002 sp.__Bacteroides dorei	5	2	3	100	94	0.620570872307359	0.0507708712736971	5.54530984055651	0.674894110864282	1	AGP transfer	3	cd_calprotectin
Bifidobacterium breve__Faecalibacterium prausnitzii	7	3	4	100	94	0.69717830241824	0.0994202176269194	4.24352077613346	0.714219370109619	1	AGP transfer	3	cd_calprotectin
Bacteroides ovatus__Bacteroides dorei__Faecalibacterium prausnitzii	8	5	3	100	94	1.59271555618365	0.29997822740729	10.5534495645777	0.721860563422196	1	AGP transfer	3	cd_calprotectin
Blautia sp.	10	6	4	100	94	1.43352051877365	0.327574906713862	7.14174139783272	0.748583288715024	1	AGP transfer	3	cd_calprotectin
Bifidobacterium breve__Bacteroides dorei	13	6	7	100	94	0.794263615216346	0.211607250527582	2.88047683385459	0.777969800711752	1	AGP transfer	3	cd_calprotectin
Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei	5	3	2	100	94	1.42012796208035	0.158922660403585	17.3562184979396	1	1	AGP transfer	3	cd_calprotectin
Agathobacter faecis__Faecalibacterium prausnitzii__Bacteroides dorei	1	1	0	100	94	Inf	0.0241021782288896	Inf	1	1	AGP transfer	3	cd_calprotectin
Akkermansia muciniphila__Faecalibacterium prausnitzii	1	1	0	100	94	Inf	0.0241021782288896	Inf	1	1	AGP transfer	3	cd_calprotectin
Alistipes onderdonkii__Bacteroides dorei	1	1	0	100	94	Inf	0.0241021782288896	Inf	1	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Agathobacter faecis__Faecalibacterium prausnitzii	1	1	0	100	94	Inf	0.0241021782288896	Inf	1	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Bacteroides eggerthii	2	1	1	100	94	0.939668379988493	0.0118566280412389	74.4815839648365	1	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Bacteroides fragilis	1	1	0	100	94	Inf	0.0241021782288896	Inf	1	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Bacteroides ovatus__Bacteroides caccae	2	1	1	100	94	0.939668379988493	0.0118566280412389	74.4815839648365	1	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Bacteroides ovatus__Parabacteroides distasonis	1	1	0	100	94	Inf	0.0241021782288896	Inf	1	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Bacteroides sartorii__Faecalibacterium prausnitzii	1	1	0	100	94	Inf	0.0241021782288896	Inf	1	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Bifidobacterium breve	3	2	1	100	94	1.89193805553795	0.0969778354890157	113.084624083154	1	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__CAG-352 bromii	1	1	0	100	94	Inf	0.0241021782288896	Inf	1	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides sartorii	1	1	0	100	94	Inf	0.0241021782288896	Inf	1	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Faecalibacterium prausnitzii__Christensenellaceae R-7 group sp.	1	1	0	100	94	Inf	0.0241021782288896	Inf	1	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Lachnospiraceae fam.	1	1	0	100	94	Inf	0.0241021782288896	Inf	1	1	AGP transfer	3	cd_calprotectin
Bacteroides dorei__Parabacteroides distasonis	3	2	1	100	94	1.89193805553795	0.0969778354890157	113.084624083154	1	1	AGP transfer	3	cd_calprotectin
Bacteroides ovatus__Bacteroides fragilis	3	2	1	100	94	1.89193805553795	0.0969778354890157	113.084624083154	1	1	AGP transfer	3	cd_calprotectin
Bacteroides ovatus__Faecalibacterium prausnitzii	1	1	0	100	94	Inf	0.0241021782288896	Inf	1	1	AGP transfer	3	cd_calprotectin
Bacteroides sp.__Bacteroides dorei__Bacteroides sartorii	2	1	1	100	94	0.939668379988493	0.0118566280412389	74.4815839648365	1	1	AGP transfer	3	cd_calprotectin
CAG-352 bromii	2	1	1	100	94	0.939668379988493	0.0118566280412389	74.4815839648365	1	1	AGP transfer	3	cd_calprotectin
Clostridia UCG-014 ord.__Bacteroides dorei	2	1	1	100	94	0.939668379988493	0.0118566280412389	74.4815839648365	1	1	AGP transfer	3	cd_calprotectin
Enterococcus faecium	1	1	0	100	94	Inf	0.0241021782288896	Inf	1	1	AGP transfer	3	cd_calprotectin
Faecalibacterium prausnitzii__Agathobacter faecis__Bacteroides dorei	1	1	0	100	94	Inf	0.0241021782288896	Inf	1	1	AGP transfer	3	cd_calprotectin
