depth	lineage	size
2	Akkermansia__Faecalibacterium	9
2	Bacteroides__Acidaminococcus	9
2	Bacteroides__Romboutsia	9
2	Bacteroides__Streptococcus	9
2	Blautia__Bacteroides	9
2	Chloroplast__Pseudomonas	9
2	Clostridium_sensu_stricto_1__Romboutsia	9
2	Corynebacterium__Streptococcus	9
2	Enterobacteriaceae__Clostridia_UCG-014	9
2	Enterobacteriaceae__Erysipelatoclostridium	9
2	Escherichia-Shigella__Brevundimonas	9
2	Escherichia-Shigella__Erysipelotrichaceae_UCG-003	9
2	Escherichia-Shigella__Parabacteroides	9
2	Faecalibacterium__RF39	9
2	Gastranaerophilales__Bacteroides	9
2	Muribaculaceae__Faecalibacterium	9
2	Prevotella_7__Prevotella	9
2	Prevotella_9__[Eubacterium]_coprostanoligenes_group	9
2	Prevotella_9__Catenibacterium	9
2	Prevotella_9__Prevotella_7	9
2	RF39__Clostridia_UCG-014	9
2	Rothia__Neisseria	9
2	Staphylococcus__Bacteria	9
2	Staphylococcus__Staphylococcaceae	9
2	Streptococcus__Actinomyces	9
2	Subdoligranulum__Lachnospiraceae	9
2	Alistipes__Lachnospiraceae	8
2	Bacteroides__[Eubacterium]_ruminantium_group	8
2	Bacteroides__Morganella	8
2	Bacteroides__Peptoniphilus	8
2	Bacteroides__Prevotellaceae_UCG-001	8
2	Bacteroides__Tannerellaceae_1	8
2	Bifidobacterium__Subdoligranulum	8
2	Blautia__Subdoligranulum	8
2	Corynebacteriaceae__Lawsonella	8
2	Corynebacterium__Lawsonella	8
2	Enterobacteriaceae__Staphylococcus	8
2	Enterobacteriaceae__Unassigned	8
2	Faecalibacterium__[Eubacterium]_coprostanoligenes_group	8
2	Faecalibacterium__Alistipes	8
2	Faecalibacterium__Enterobacteriaceae	8
2	Faecalibacterium__Muribaculaceae	8
2	Finegoldia__Anaerococcus	8
2	Hafnia-Obesumbacterium__Bacteroides	8
2	Hafnia-Obesumbacterium__Enterobacterales	8
2	Muribaculaceae__Lachnospiraceae	8
2	Prevotella_9__Megasphaera	8
2	Prevotella_9__Pasteurellaceae	8
2	Prevotella_9__UCG-010	8
2	Pseudomonas__Neisseria	8
2	Psychrobacter__Corynebacterium	8
2	RF39__Bacteroides	8
2	Rothia__Veillonella	8
2	Staphylococcus__Mitochondria	8
2	Staphylococcus__Pasteurellaceae	8
2	Staphylococcus__Peptoniphilus	8
2	Staphylococcus__uncultured_12	8
2	Stenotrophomonas__Brevundimonas	8
2	Stenotrophomonas__Streptococcus	8
2	Streptococcus__Fusobacterium	8
2	Subdoligranulum__Agathobacter	8
2	UCG-002__Bacteroides	8
2	Unassigned__Chloroplast	8
2	uncultured_12__Streptococcus	8
2	Veillonella__Neisseria	8
2	Acinetobacter__Brevundimonas	7
2	Akkermansia__Clostridia_UCG-014	7
2	Akkermansia__Lachnospiraceae	7
2	Alistipes__Escherichia-Shigella	7
2	Alloprevotella__Bacteroides	7
2	Anaerococcus__Peptoniphilus	7
2	Bacteroides__Acinetobacter	7
2	Bifidobacterium__Agathobacter	7
2	Blautia__Faecalibacterium	7
2	Brevundimonas__Enterobacteriaceae	7
2	Enterobacterales__Rothia	7
2	Enterobacteriaceae__Christensenellaceae_R-7_group	7
2	Enterobacteriaceae__Hafnia-Obesumbacterium	7
2	Enterobacteriaceae__Proteus	7
2	Escherichia-Shigella__[Eubacterium]_siraeum_group	7
2	Escherichia-Shigella__Ruminococcaceae	7
2	Lachnospiraceae__Clostridia_UCG-014	7
2	Lactobacillaceae__Lactobacillus	7
2	Leptotrichia__Prevotella_7	7
2	Peptoniphilus__Anaerococcus	7
2	Prevotella_9__RF39	7
2	Providencia__Bacteroides	7
2	Psychrobacter__Corynebacteriaceae	7
2	Rothia__Pseudomonas	7
2	Ruminococcus__Bacteroides	7
2	Staphylococcus__Neisseria	7
2	Streptococcus__Corynebacteriaceae	7
2	Streptococcus__Lactobacillus	7
2	Streptococcus__Leptotrichia	7
2	Streptococcus__Unassigned	7
2	Unassigned__Staphylococcus	7
2	uncultured_4__Bacteroides	7
2	Acinetobacter__Enterobacterales	6
2	Agathobacter__Blautia	6
2	Akkermansia__Blautia	6
2	Alistipes__UCG-002	6
2	Anaerococcus__Finegoldia	6
2	Bacteria__Bacteroides	6
2	Bacteroides__Bacillales	6
2	Bacteroides__Finegoldia	6
2	Bacteroides__Hafnia-Obesumbacterium	6
2	Bacteroides__Odoribacter	6
